Id x y vx vy fx fy
36 72.5737 87.6458 0.00174222 0.00665013 -7.35773e-06 2.03203e-06
37 60.0593 73.8498 0.0130188 -0.0150046 -1.64694e-06 3.31313e-06
38 72.1665 43.9492 -0.00501695 0.00420379 -3.6054e-06 8.15966e-06
39 9.4921 1.49871 0.00397057 0.00606724 1.23924e-06 2.81692e-06
40 8.07938 31.1985 0.0114992 -0.00136074 1.08424e-06 1.61578e-06
41 79.8887 36.282 -0.0126233 0.000407107 -7.88043e-06 1.52381e-05
42 41.7046 86.7964 0.00186214 -0.00651196 7.24732e-07 6.07317e-07
43 80.1408 67.8349 -0.00436215 0.0155987 -1.15973e-05 1.00484e-05
44 59.5735 78.024 -0.00824348 -0.000289503 -1.58944e-06 2.66004e-06
45 88.2614 54.9037 -0.00218858 -0.000759863 -1.60337e-05 1.63704e-05
46 65.4412 92.2906 -0.00655462 0.0101056 -3.57394e-06 3.63103e-07
47 93.7197 7.34902 -0.0112282 0.00618814 -4.62578e-05 9.1769e-05
48 34.7373 6.29882 -0.00527754 -0.00169808 1.0176e-06 5.79203e-06
49 91.2633 15.0669 -0.000554016 0.0114908 -3.22256e-05 6.17029e-05
50 2.43224 12.6513 -0.0112725 -0.00211785 1.16478e-06 1.98329e-06
51 66.3717 68.7799 -0.0139932 0.00730289 -3.33971e-06 5.15092e-06
52 5.20934 13.0113 -0.00748772 0.00144409 1.18052e-06 2.12491e-06
53 7.8913 8.10933 0.00631847 -0.000283885 1.21381e-06 2.46452e-06
54 60.451 55.1305 0.00590394 0.000505963 -1.36253e-06 5.10562e-06
55 99.2641 77.4986 -0.0182846 0.0045517 -7.24299e-05 2.40944e-05
56 47.5174 69.195 0.000794138 0.00402001 2.51767e-07 2.38604e-06
57 97.8235 3.45474 0.00793616 0.0106873 -7.16245e-05 0.000135716
58 83.1007 17.5143 -0.00548803 0.00905381 -1.551e-05 3.58961e-05
59 97.7688 18.662 -0.000675533 -0.00475436 -5.07609e-05 8.00937e-05
60 78.3944 87.1998 0.0016148 -0.00538884 -1.26037e-05 2.96309e-06
61 93.5344 19.2684 0.00630296 0.00985574 -3.51848e-05 6.04399e-05
62 45.293 90.6357 -0.000893848 -0.0109991 4.78684e-07 3.18582e-07
63 50.641 48.6205 -0.000934249 0.0202777 -4.3955e-08 3.80606e-06
64 85.7591 41.0575 -0.00151946 0.000666606 -1.0537e-05 1.56071e-05
65 4.10394 30.9627 -0.00163016 0.00512778 1.07179e-06 1.46473e-06
66 30.8408 89.5576 -0.000178801 -0.0179181 1.13993e-06 2.5366e-07
67 36.1419 84.4415 0.018127 0.00352522 9.80454e-07 6.59808e-07
68 68.1559 16.9594 0.00340881 -0.0139307 -4.11557e-06 1.75435e-05
69 85.3953 36.436 -0.00277489 0.00154694 -1.17475e-05 1.91186e-05
70 20.3317 43.7718 -0.00646131 -0.00139056 9.55926e-07 1.60703e-06
71 42.8799 65.5388 -0.006717 0.00359487 5.74019e-07 2.24482e-06
72 85.0399 72.0609 0.00849264 0.0129443 -1.88906e-05 1.17854e-05
73 99.6173 89.1369 -0.00841571 0.000900695 -8.97502e-05 8.54093e-06
74 13.2008 5.53402 0.00418451 -0.00701006 1.24243e-06 2.97209e-06
75 66.6401 65.8468 -0.00836022 0.00902135 -3.29857e-06 5.59039e-06
76 51.2054 98.7386 0.0119366 -0.0237231 -1.35579e-07 -6.1019e-07
77 20.6886 52.3084 -0.00619817 0.0128323 1.03438e-06 1.45997e-06
78 53.3544 56.838 -0.0123533 -0.00399969 -3.37067e-07 3.85522e-06
79 51.119 45.2473 -0.00140297 0.00224314 -8.11468e-08 3.94225e-06
80 24.8356 13.265 0.00845159 -0.00600474 1.17442e-06 3.74311e-06
81 29.0969 4.0806 0.0173314 0.0275513 1.15933e-06 4.95057e-06
82 63.7327 94.37 -0.0160849 0.0102997 -2.93335e-06 -1.12624e-07
83 84.8933 5.55823 0.0141212 0.0109638 -2.1638e-05 5.49366e-05
84 6.9933 41.4647 0.00455078 -0.00732536 9.99686e-07 1.21428e-06
85 37.4047 65.453 0.00104438 -0.00599209 8.35808e-07 1.86663e-06
86 26.216 34.7845 -0.00883083 -0.00620637 9.89268e-07 2.44446e-06
87 47.6225 57.4347 -0.0092076 -0.0161885 2.13981e-07 3.12152e-06
88 93.3942 63.9987 -0.0013184 -0.0180431 -3.07633e-05 2.12185e-05
89 24.601 26.2221 0.00865313 -0.00597023 1.08457e-06 2.87426e-06
90 46.4277 68.5109 -0.00292109 -0.00466002 3.41185e-07 2.34203e-06
91 48.0416 30.5336 -0.00789829 -0.0243861 1.80049e-07 5.48845e-06
92 38.416 8.95866 -0.0122139 -0.0139457 8.69877e-07 6.30993e-06
93 79.0933 25.129 0.00149109 0.0014197 -9.58409e-06 2.27303e-05
94 53.2734 73.8255 0.0159286 -0.00931202 -3.95797e-07 2.51198e-06
95 8.03059 16.7309 -0.00503857 0.00589326 1.17725e-06 2.15703e-06
96 53.2004 58.1491 -0.00646915 -0.0189987 -3.24979e-07 3.76445e-06
